TITLE,p(TT-TII-PD)_KBr
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,matsulab
DATE,24/01/19
TIME,15:36:17
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,  399.1927
LASTX, 4000.6047
NPOINTS,    3736
FIRSTY,     0.04422
MAXY,     0.66816
MINY,     0.00100
XYDATA
399.1927,0.0442229
400.1569,0.0300405
401.1211,0.0162551
402.0854,0.00703639
403.0496,0.00329418
404.0138,0.00391406
404.9781,0.00683873
405.9423,0.0100219
406.9065,0.0123266
407.8708,0.0139257
408.8350,0.0158069
409.7992,0.0187394
410.7635,0.0225163
411.7277,0.0260052
412.6919,0.0279392
413.6562,0.0277703
414.6204,0.0258974
415.5846,0.0233161
416.5489,0.0211878
417.5131,0.0204768
418.4773,0.0213779
419.4416,0.0228475
420.4058,0.0234641
421.3700,0.0228187
422.3343,0.02145
423.2985,0.0201164
424.2627,0.0194803
425.2270,0.0200007
426.1912,0.0217562
427.1554,0.0243118
428.1197,0.0268442
429.0839,0.0285059
430.0481,0.0288295
431.0124,0.0279705
431.9766,0.0266429
432.9408,0.025735
433.9051,0.0258085
434.8693,0.026803
435.8335,0.0281481
436.7978,0.0292054
437.7620,0.0296758
438.7262,0.0296564
439.6905,0.029397
440.6547,0.0290439
441.6189,0.0285689
442.5832,0.0278878
443.5474,0.0270308
444.5116,0.026188
445.4759,0.025587
446.4401,0.0253505
447.4043,0.0254774
448.3686,0.0259241
449.3328,0.0266604
450.2970,0.0276275
451.2613,0.0286452
452.2255,0.0293941
453.1897,0.029551
454.1540,0.0290014
455.1182,0.0279799
456.0824,0.0270319
457.0467,0.026742
458.0109,0.0272775
458.9751,0.0281231
459.9394,0.028456
460.9036,0.0278554
461.8678,0.0265911
462.8321,0.0253746
463.7963,0.0249183
464.7605,0.0255261
465.7248,0.0268806
466.6890,0.0282215
467.6532,0.0288668
468.6175,0.0286705
469.5817,0.0280649
470.5459,0.0277196
471.5102,0.028067
472.4744,0.0290082
473.4386,0.0300795
474.4029,0.0309626
475.3671,0.0317727
476.3313,0.0328329
477.2956,0.0342483
478.2598,0.0356896
479.2240,0.0365403
480.1883,0.036315
481.1525,0.0350586
482.1167,0.0334163
483.0810,0.0322939
484.0452,0.032307
485.0094,0.0333867
485.9737,0.0348542
486.9379,0.0359031
487.9021,0.0360688
488.8664,0.0353739
489.8306,0.0341971
490.7948,0.0330462
491.7591,0.0323472
492.7233,0.0322998
493.6875,0.0328449
494.6518,0.0337449
495.6160,0.0347125
496.5802,0.0355114
497.5445,0.036003
498.5087,0.0361599
499.4729,0.0360743
500.4372,0.0359564
501.4014,0.0360772
502.3656,0.036619
503.3299,0.0374968
504.2941,0.0383051
505.2583,0.0384778
506.2226,0.037572
507.1868,0.0355195
508.1510,0.0327095
509.1153,0.0298253
510.0795,0.0274966
511.0437,0.0259938
512.0080,0.0251831
512.9722,0.0247426
513.9365,0.0244512
514.9007,0.0243508
515.8649,0.0246857
516.8292,0.0256506
517.7934,0.0271087
518.7576,0.0285464
519.7219,0.0293887
520.6861,0.0293955
521.6503,0.0287621
522.6146,0.0279084
523.5788,0.0271988
524.5430,0.0267536
525.5073,0.0264171
526.4715,0.0259138
527.4357,0.0251099
528.4000,0.0241556
529.3642,0.0233783
530.3284,0.0230521
531.2927,0.0232299
532.2569,0.0237235
533.2211,0.0242233
534.1854,0.02449
535.1496,0.0244946
536.1138,0.0244085
537.0781,0.024464
538.0423,0.0248034
539.0065,0.0254266
539.9708,0.0262488
540.9350,0.027192
541.8992,0.0282201
542.8635,0.0292958
543.8277,0.0303127
544.7919,0.0310821
545.7562,0.0314084
546.7204,0.0312124
547.6846,0.0306071
548.6489,0.029859
549.6131,0.0292576
550.5773,0.0289853
551.5416,0.0290667
552.5058,0.0294084
553.4700,0.0298773
554.4343,0.0303587
555.3985,0.0307761
556.3627,0.03109
557.3270,0.0313089
558.2912,0.0315137
559.2554,0.0318673
560.2197,0.0325721
561.1839,0.0337738
562.1481,0.0354548
563.1124,0.037386
564.0766,0.0391816
565.0408,0.040438
566.0051,0.0408815
566.9693,0.0404564
567.9335,0.0393215
568.8978,0.0377684
569.8620,0.0361026
570.8262,0.0345529
571.7905,0.0332519
572.7547,0.0322707
573.7189,0.0316556
574.6832,0.0314268
575.6474,0.0315469
576.6116,0.0319003
577.5759,0.0323217
578.5401,0.0326656
579.5043,0.0328701
580.4686,0.032974
581.4328,0.0330847
582.3970,0.0333159
583.3613,0.0337254
584.3255,0.0342817
585.2897,0.0348778
586.2540,0.0353884
587.2182,0.0357417
588.1824,0.0359677
589.1467,0.0361948
590.1109,0.0365894
591.0751,0.0372624
592.0394,0.0381937
593.0036,0.0392399
593.9678,0.0402336
594.9321,0.0410971
595.8963,0.041876
596.8605,0.0426673
597.8248,0.0435025
598.7890,0.0442661
599.7532,0.0447178
600.7175,0.0446192
601.6817,0.0438855
602.6459,0.0426544
603.6102,0.0412299
604.5744,0.0399486
605.5386,0.039045
606.5029,0.0385763
607.4671,0.0384291
608.4313,0.0383971
609.3956,0.0382851
610.3598,0.0379939
611.3240,0.0375459
612.2883,0.0370456
613.2525,0.0366051
614.2167,0.0362788
615.1810,0.0360427
616.1452,0.0358238
617.1094,0.0355616
618.0737,0.0352625
619.0379,0.0350037
620.0021,0.0348829
620.9664,0.0349583
621.9306,0.0352234
622.8948,0.0356177
623.8591,0.0360588
624.8233,0.0364785
625.7875,0.0368533
626.7518,0.037214
627.7160,0.0376248
628.6802,0.0381428
629.6445,0.0387766
630.6087,0.0394635
631.5729,0.0400761
632.5372,0.0404575
633.5014,0.0404741
634.4656,0.0400612
635.4299,0.0392395
636.3941,0.0380925
637.3583,0.036723
638.3226,0.0352185
639.2868,0.0336429
640.2510,0.0320522
641.2153,0.030514
642.1795,0.0291122
643.1437,0.0279308
644.1080,0.0270239
645.0722,0.0263884
646.0364,0.0259542
647.0007,0.0256024
647.9649,0.0252109
648.9291,0.024713
649.8934,0.024136
650.8576,0.0235817
651.8218,0.0231578
652.7861,0.0229071
653.7503,0.0227851
654.7145,0.0226942
655.6788,0.0225503
656.6430,0.0223414
657.6072,0.0221395
658.5715,0.0220623
659.5357,0.022205
660.4999,0.0225766
661.4642,0.0230785
662.4284,0.023557
663.3926,0.0238863
664.3569,0.0240073
665.3211,0.0239133
666.2853,0.0236356
667.2496,0.023281
668.2138,0.02308
669.1780,0.0232279
670.1423,0.0235941
671.1065,0.0239048
672.0707,0.0240454
673.0350,0.0240405
673.9992,0.0239675
674.9634,0.0239236
675.9277,0.0240025
676.8919,0.0242583
677.8561,0.0246818
678.8204,0.025219
679.7846,0.0258096
680.7488,0.0264122
681.7131,0.0270102
682.6773,0.027611
683.6415,0.0282456
684.6058,0.0289628
685.5700,0.029807
686.5342,0.0307809
687.4985,0.0318032
688.4627,0.0326951
689.4269,0.0332197
690.3912,0.0331734
691.3554,0.0324831
692.3196,0.0312555
693.2839,0.0297497
694.2481,0.0282884
695.2123,0.0271535
696.1766,0.0265072
697.1408,0.026365
698.1050,0.0266202
699.0693,0.0271012
700.0335,0.0276326
700.9977,0.0280792
701.9620,0.0283714
702.9262,0.0285155
703.8904,0.0285932
704.8547,0.028743
705.8189,0.0291207
706.7831,0.029843
707.7474,0.0309334
708.7116,0.0322982
709.6758,0.0337507
710.6401,0.0350882
711.6043,0.0361965
712.5685,0.0371343
713.5328,0.038134
714.4970,0.0394909
715.4612,0.0413843
716.4255,0.0437325
717.3897,0.0461654
718.3539,0.0481461
719.3182,0.0492084
720.2824,0.0491982
721.2466,0.0483432
722.2109,0.0470687
723.1751,0.0457058
724.1393,0.0443336
725.1036,0.0428425
726.0678,0.041119
727.0320,0.0391964
727.9963,0.0372685
728.9605,0.0355716
729.9247,0.034238
730.8890,0.0332382
731.8532,0.0324383
732.8174,0.0317085
733.7817,0.0309913
734.7459,0.0302944
735.7101,0.0296393
736.6744,0.0290255
737.6386,0.0284386
738.6028,0.0278813
739.5671,0.0273872
740.5313,0.0269984
741.4955,0.0267303
742.4598,0.0265581
743.4240,0.0264388
744.3882,0.0263448
745.3525,0.0262795
746.3167,0.0262686
747.2809,0.0263535
748.2452,0.0266132
749.2094,0.0272019
750.1736,0.0283493
751.1379,0.0302749
752.1021,0.0330263
753.0663,0.0363275
754.0306,0.0395529
754.9948,0.0418967
755.9590,0.0426882
756.9233,0.0416909
757.8875,0.0392055
758.8517,0.0359168
759.8160,0.0325887
760.7802,0.02979
761.7444,0.0277732
762.7087,0.0265172
763.6729,0.0258519
764.6371,0.0255763
765.6014,0.0255187
766.5656,0.025547
767.5298,0.0255647
768.4941,0.0255164
769.4583,0.0253997
770.4225,0.0252656
771.3868,0.0251941
772.3510,0.0252573
773.3152,0.0254887
774.2795,0.0258738
775.2437,0.026361
776.2079,0.0268814
777.1722,0.0273693
778.1364,0.0277819
779.1006,0.0281223
780.0649,0.0284649
781.0291,0.028972
781.9933,0.029885
782.9576,0.0314752
783.9218,0.0339584
784.8860,0.0373944
785.8503,0.041612
786.8145,0.0462032
787.7787,0.0506074
788.7430,0.0542691
789.7072,0.0568048
790.6714,0.0581015
791.6357,0.0583031
792.5999,0.0577052
793.5641,0.0566259
794.5284,0.0553209
795.4926,0.0539645
796.4568,0.0526755
797.4211,0.0515434
798.3853,0.0506312
799.3495,0.0499595
800.3138,0.049497
801.2780,0.0491722
802.2422,0.0489021
803.2065,0.0486169
804.1707,0.0482643
805.1349,0.0477967
806.0992,0.0471599
807.0634,0.0462972
808.0276,0.0451722
808.9919,0.0437936
809.9561,0.0422274
810.9203,0.0405879
811.8846,0.0390139
812.8488,0.0376389
813.8130,0.0365656
814.7773,0.0358496
815.7415,0.0354929
816.7057,0.0354493
817.6700,0.0356407
818.6342,0.0359801
819.5984,0.0363959
820.5627,0.0368499
821.5269,0.0373435
822.4911,0.0379116
823.4554,0.0386053
824.4196,0.0394683
825.3839,0.0405166
826.3481,0.0417319
827.3123,0.0430744
828.2766,0.0445071
829.2408,0.046014
830.2050,0.0475913
831.1693,0.0492108
832.1335,0.0507736
833.0977,0.0520937
834.0620,0.0529338
835.0262,0.0530866
835.9904,0.0524611
836.9547,0.0511229
837.9189,0.0492659
838.8831,0.0471352
839.8474,0.0449461
840.8116,0.0428419
841.7758,0.0408983
842.7401,0.039156
843.7043,0.0376504
844.6685,0.0364239
845.6328,0.0355172
846.5970,0.0349541
847.5612,0.0347233
848.5255,0.0347663
849.4897,0.0349722
850.4539,0.0351907
851.4182,0.0352654
852.3824,0.0350837
853.3466,0.0346181
854.3109,0.0339347
855.2751,0.0331597
856.2393,0.0324184
857.2036,0.0317841
858.1678,0.0312651
859.1320,0.0308345
860.0963,0.0304784
861.0605,0.0302275
862.0247,0.0301495
862.9890,0.0303093
863.9532,0.0307238
864.9174,0.0313433
865.8817,0.0320689
866.8459,0.0327936
867.8101,0.0334391
868.7744,0.0339673
869.7386,0.0343663
870.7028,0.0346254
871.6671,0.0347231
872.6313,0.0346341
873.5955,0.0343508
874.5598,0.0339001
875.5240,0.0333439
876.4882,0.0327633
877.4525,0.032237
878.4167,0.0318273
879.3809,0.0315744
880.3452,0.0314963
881.3094,0.0315856
882.2736,0.0318024
883.2379,0.0320717
884.2021,0.0322955
885.1663,0.0323795
886.1306,0.0322673
887.0948,0.0319625
888.0590,0.0315273
889.0233,0.0310552
889.9875,0.0306327
890.9517,0.0303066
891.9160,0.0300732
892.8802,0.0298901
893.8444,0.0297042
894.8087,0.029478
895.7729,0.0292058
896.7371,0.0289118
897.7014,0.0286366
898.6656,0.0284185
899.6298,0.0282785
900.5941,0.0282125
901.5583,0.0281926
902.5225,0.0281756
903.4868,0.0281173
904.4510,0.0279899
905.4152,0.0277948
906.3795,0.0275645
907.3437,0.0273489
908.3079,0.0271934
909.2722,0.0271185
910.2364,0.0271147
911.2006,0.0271553
912.1649,0.027217
913.1291,0.0272944
914.0933,0.0273978
915.0576,0.0275379
916.0218,0.0277108
916.9860,0.0278959
917.9503,0.0280672
918.9145,0.028209
919.8787,0.0283235
920.8430,0.0284255
921.8072,0.02853
922.7714,0.0286429
923.7357,0.0287622
924.6999,0.0288859
925.6641,0.0290205
926.6284,0.0291827
927.5926,0.0293947
928.5568,0.0296787
929.5211,0.0300524
930.4853,0.0305253
931.4495,0.0310951
932.4138,0.0317428
933.3780,0.0324321
934.3422,0.0331163
935.3065,0.0337536
936.2707,0.0343223
937.2349,0.0348276
938.1992,0.0352941
939.1634,0.0357479
940.1276,0.0361999
941.0919,0.0366381
942.0561,0.0370335
943.0203,0.0373537
943.9846,0.0375744
944.9488,0.0376854
945.9130,0.0376896
946.8773,0.0376004
947.8415,0.0374399
948.8057,0.0372368
949.7700,0.0370214
950.7342,0.0368172
951.6984,0.0366327
952.6627,0.0364593
953.6269,0.0362776
954.5911,0.0360711
955.5554,0.035837
956.5196,0.0355893
957.4838,0.0353492
958.4481,0.0351315
959.4123,0.0349344
960.3765,0.0347418
961.3408,0.0345357
962.3050,0.034311
963.2692,0.0340813
964.2335,0.0338703
965.1977,0.0336961
966.1619,0.033558
967.1262,0.0334372
968.0904,0.0333107
969.0546,0.0331697
970.0189,0.0330286
970.9831,0.0329187
971.9473,0.0328708
972.9116,0.0328966
973.8758,0.032981
974.8400,0.0330873
975.8043,0.0331738
976.7685,0.0332107
977.7327,0.0331913
978.6970,0.0331352
979.6612,0.0330805
980.6254,0.0330706
981.5897,0.0331385
982.5539,0.0332972
983.5181,0.0335377
984.4824,0.0338387
985.4466,0.0341789
986.4108,0.0345461
987.3751,0.0349349
988.3393,0.035338
989.3035,0.0357376
990.2678,0.0361072
991.2320,0.0364245
992.1962,0.0366875
993.1605,0.0369224
994.1247,0.0371756
995.0889,0.0374928
996.0532,0.0378979
997.0174,0.0383836
997.9816,0.0389218
998.9459,0.0394852
999.9101,0.040068
1000.8743,0.04069
1001.8386,0.0413799
1002.8028,0.0421481
1003.7670,0.0429671
1004.7313,0.0437752
1005.6955,0.0445035
1006.6597,0.0451136
1007.6240,0.0456193
1008.5882,0.0460803
1009.5524,0.0465707
1010.5167,0.0471427
1011.4809,0.0478073
1012.4451,0.0485426
1013.4094,0.0493175
1014.3736,0.0501142
1015.3378,0.0509333
1016.3021,0.0517824
1017.2663,0.0526603
1018.2305,0.0535477
1019.1948,0.0544104
1020.1590,0.0552104
1021.1232,0.0559183
1022.0875,0.0565216
1023.0517,0.0570289
1024.0160,0.0574686
1024.9802,0.0578808
1025.9445,0.0583024
1026.9087,0.0587526
1027.8729,0.059225
1028.8372,0.0596937
1029.8014,0.0601294
1030.7656,0.0605173
1031.7299,0.0608654
1032.6941,0.0612008
1033.6583,0.0615578
1034.6226,0.0619682
1035.5868,0.0624557
1036.5510,0.063035
1037.5153,0.0637106
1038.4795,0.0644731
1039.4437,0.0652975
1040.4080,0.0661469
1041.3722,0.0669811
1042.3364,0.0677687
1043.3007,0.0684967
1044.2649,0.0691741
1045.2291,0.0698317
1046.1934,0.070515
1047.1576,0.0712715
1048.1218,0.0721345
1049.0861,0.0731085
1050.0503,0.0741672
1051.0145,0.0752663
1051.9788,0.0763698
1052.9430,0.0774716
1053.9072,0.0786015
1054.8715,0.0798071
1055.8357,0.0811245
1056.7999,0.0825555
1057.7642,0.0840658
1058.7284,0.0856048
1059.6926,0.0871354
1060.6569,0.0886544
1061.6211,0.0901931
1062.5853,0.0917975
1063.5496,0.0935016
1064.5138,0.0953081
1065.4780,0.0971885
1066.4423,0.0991013
1067.4065,0.101015
1068.3707,0.102922
1069.3350,0.104835
1070.2992,0.106771
1071.2634,0.108738
1072.2277,0.110745
1073.1919,0.112812
1074.1561,0.114978
1075.1204,0.117286
1076.0846,0.119747
1077.0488,0.122317
1078.0131,0.124913
1078.9773,0.127476
1079.9415,0.13004
1080.9058,0.132761
1081.8700,0.135875
1082.8342,0.139599
1083.7985,0.144038
1084.7627,0.149158
1085.7269,0.154832
1086.6912,0.160928
1087.6554,0.167383
1088.6196,0.174209
1089.5839,0.181432
1090.5481,0.189021
1091.5123,0.196827
1092.4766,0.204578
1093.4408,0.211922
1094.4050,0.218477
1095.3693,0.223889
1096.3335,0.227871
1097.2977,0.230246
1098.2620,0.230973
1099.2262,0.230168
1100.1904,0.228085
1101.1547,0.225072
1102.1189,0.221494
1103.0831,0.217648
1104.0474,0.213715
1105.0116,0.20973
1105.9758,0.2056
1106.9401,0.201153
1107.9043,0.196191
1108.8685,0.190537
1109.8328,0.184075
1110.7970,0.176772
1111.7612,0.168684
1112.7255,0.159971
1113.6897,0.150876
1114.6539,0.14171
1115.6182,0.132796
1116.5824,0.124433
1117.5466,0.116845
1118.5109,0.110172
1119.4751,0.104466
1120.4393,0.0997143
1121.4036,0.0958663
1122.3678,0.092854
1123.3320,0.0905993
1124.2963,0.0890025
1125.2605,0.0879206
1126.2247,0.0871531
1127.1890,0.0864537
1128.1532,0.0855782
1129.1174,0.0843529
1130.0817,0.0827304
1131.0459,0.0807969
1132.0101,0.0787235
1132.9744,0.0766876
1133.9386,0.0748056
1134.9028,0.0731097
1135.8671,0.0715704
1136.8313,0.0701407
1137.7955,0.0687914
1138.7598,0.0675195
1139.7240,0.0663339
1140.6882,0.0652369
1141.6525,0.0642183
1142.6167,0.0632635
1143.5809,0.0623653
1144.5452,0.0615285
1145.5094,0.0607643
1146.4736,0.0600809
1147.4379,0.0594785
1148.4021,0.0589529
1149.3663,0.058503
1150.3306,0.0581349
1151.2948,0.0578591
1152.2590,0.0576832
1153.2233,0.0576069
1154.1875,0.0576212
1155.1517,0.0577132
1156.1160,0.057871
1157.0802,0.0580855
1158.0444,0.0583505
1159.0087,0.0586622
1159.9729,0.0590225
1160.9371,0.0594421
1161.9014,0.0599408
1162.8656,0.0605416
1163.8298,0.061262
1164.7941,0.0621089
1165.7583,0.0630843
1166.7225,0.0641986
1167.6868,0.0654828
1168.6510,0.0669879
1169.6152,0.0687644
1170.5795,0.0708295
1171.5437,0.0731352
1172.5079,0.0755533
1173.4722,0.0778867
1174.4364,0.0799062
1175.4006,0.0814009
1176.3649,0.0822241
1177.3291,0.0823211
1178.2933,0.0817321
1179.2576,0.0805744
1180.2218,0.0790123
1181.1860,0.0772217
1182.1503,0.0753601
1183.1145,0.0735494
1184.0787,0.0718766
1185.0430,0.0704062
1186.0072,0.0691942
1186.9714,0.0682934
1187.9357,0.0677497
1188.8999,0.0675941
1189.8641,0.067839
1190.8284,0.0684806
1191.7926,0.0695056
1192.7568,0.0708981
1193.7211,0.0726449
1194.6853,0.0747385
1195.6495,0.0771778
1196.6138,0.0799646
1197.5780,0.0830938
1198.5422,0.086539
1199.5065,0.0902387
1200.4707,0.0940904
1201.4349,0.0979548
1202.3992,0.101671
1203.3634,0.105078
1204.3276,0.108036
1205.2919,0.110447
1206.2561,0.112273
1207.2203,0.113534
1208.1846,0.114312
1209.1488,0.114731
1210.1130,0.114943
1211.0773,0.115109
1212.0415,0.11539
1213.0057,0.115919
1213.9700,0.116796
1214.9342,0.11807
1215.8984,0.119738
1216.8627,0.121746
1217.8269,0.123998
1218.7911,0.126367
1219.7554,0.1287
1220.7196,0.130832
1221.6838,0.132595
1222.6481,0.133829
1223.6123,0.134407
1224.5765,0.13426
1225.5408,0.133404
1226.5050,0.131959
1227.4692,0.13013
1228.4335,0.128173
1229.3977,0.126335
1230.3619,0.124814
1231.3262,0.12373
1232.2904,0.123124
1233.2546,0.12298
1234.2189,0.123257
1235.1831,0.123899
1236.1473,0.124843
1237.1116,0.126002
1238.0758,0.127245
1239.0400,0.128405
1240.0043,0.129291
1240.9685,0.129722
1241.9327,0.129556
1242.8970,0.128706
1243.8612,0.127147
1244.8254,0.124911
1245.7897,0.122076
1246.7539,0.118761
1247.7181,0.115119
1248.6824,0.111327
1249.6466,0.107574
1250.6108,0.104037
1251.5751,0.100862
1252.5393,0.0981462
1253.5035,0.095934
1254.4678,0.0942201
1255.4320,0.0929588
1256.3962,0.0920738
1257.3605,0.0914645
1258.3247,0.0910126
1259.2889,0.0905929
1260.2532,0.0900953
1261.2174,0.0894521
1262.1816,0.0886592
1263.1459,0.0877785
1264.1101,0.0869221
1265.0743,0.0862247
1266.0386,0.0858181
1267.0028,0.0858122
1267.9670,0.0862862
1268.9313,0.0872878
1269.8955,0.0888342
1270.8597,0.0909134
1271.8240,0.0934843
1272.7882,0.0964787
1273.7524,0.0998081
1274.7167,0.103373
1275.6809,0.107071
1276.6451,0.110805
1277.6094,0.114495
1278.5736,0.118081
1279.5378,0.121541
1280.5021,0.12488
1281.4663,0.128119
1282.4305,0.131278
1283.3948,0.134346
1284.3590,0.137279
1285.3232,0.13999
1286.2875,0.142362
1287.2517,0.144267
1288.2159,0.145599
1289.1802,0.146311
1290.1444,0.146432
1291.1086,0.14608
1292.0729,0.145436
1293.0371,0.144718
1294.0013,0.144155
1294.9656,0.143943
1295.9298,0.144204
1296.8940,0.144955
1297.8583,0.146103
1298.8225,0.147476
1299.7867,0.148894
1300.7510,0.150223
1301.7152,0.151432
1302.6794,0.152594
1303.6437,0.153855
1304.6079,0.155373
1305.5721,0.157257
1306.5364,0.15952
1307.5006,0.162085
1308.4648,0.164825
1309.4291,0.167619
1310.3933,0.170384
1311.3575,0.173064
1312.3218,0.175603
1313.2860,0.177929
1314.2502,0.179956
1315.2145,0.181612
1316.1787,0.182845
1317.1429,0.183621
1318.1072,0.183907
1319.0714,0.183674
1320.0356,0.182909
1320.9999,0.181628
1321.9641,0.179864
1322.9283,0.177653
1323.8926,0.175028
